Total Bed Capacity,ICU Availability,Number of Medical Specialties,Key Specialty Presence,CT or MRI available,Specialist Doctor Count,Emergency & Trauma Services,Teaching / Tertiary Status,Hospital Name,Has_Cardiac,Has_Multi-specialty,Has_General,Has_Neuro,Has_Cancer,Bed_to_Doctor_Ratio,Specialty_Density,Capacity_Score,Equipment_Score,Service_Score,Readiness_Score
52,0,7,"Cancer, Multi-specialty",1,9,1,0,Greenwood Medical Health Center,0,1,0,0,1,5.2,0.1320754716981132,0.0026666666666666666,1,1,0.5474666666666667
62,1,29,"Cancer, Cardiac, General, Multi-specialty, Neuro",1,13,0,1,Bayview Medical Center,1,1,1,1,1,4.428571428571429,0.4603174603174603,0.016,2,1,0.9981333333333333
113,1,9,"General, Multi-specialty",0,11,1,0,Fairview Medical Facility,0,1,1,0,0,9.416666666666666,0.07894736842105263,0.084,1,1,0.5851999999999999
80,0,9,"General, Multi-specialty, Neuro",1,9,0,0,Hope Harborview Healthcare Center,0,1,1,1,0,8.0,0.1111111111111111,0.04,1,0,0.372
288,1,11,"Cancer, Cardiac, Multi-specialty",0,35,0,0,Fourth Community Healthcare Facility,1,1,0,0,1,8.0,0.03806228373702422,0.31733333333333336,1,0,0.46853333333333336
196,1,28,"Cancer, Cardiac, General, Multi-specialty, Neuro",1,47,1,1,Mountain View Unity Healthcare Center,1,1,1,1,1,4.083333333333333,0.14213197969543148,0.19466666666666665,2,2,1.2450666666666668
110,0,8,"Cardiac, General, Neuro",0,11,0,0,Southside Trauma Clinic,1,0,1,1,0,9.166666666666666,0.07207207207207207,0.08,0,0,0.07733333333333334
131,1,12,"Cancer, Multi-specialty",0,12,1,0,Maple Grove Clinic,0,1,0,0,1,10.076923076923077,0.09090909090909091,0.108,1,1,0.6124
108,0,5,"Cancer, General",1,10,0,0,Southside Medical Complex,0,0,1,0,1,9.818181818181818,0.045871559633027525,0.07733333333333334,1,0,0.3565333333333333
95,1,9,"General, Multi-specialty",1,11,1,0,Hope Oakwood Hospital,0,1,1,0,0,7.916666666666667,0.09375,0.06,2,1,0.8780000000000001
111,1,9,Neuro,0,12,1,0,Third Community Healthcare Center,0,0,0,1,0,8.538461538461538,0.08035714285714286,0.08133333333333333,1,1,0.5844
62,1,11,"Cancer, General, Neuro",0,10,1,0,Lakeside Medical Health Center,0,0,1,1,1,5.636363636363637,0.1746031746031746,0.016,1,1,0.5781333333333334
81,1,9,"Cancer, General",1,9,1,0,Stonebridge Unity Clinic,0,0,1,0,1,8.1,0.10975609756097561,0.04133333333333333,2,1,0.8724000000000001
61,1,6,"Cancer, Cardiac",1,9,1,0,Greenwood Clinic,1,0,0,0,1,6.1,0.0967741935483871,0.014666666666666666,2,1,0.8444
111,1,8,Multi-specialty,1,14,1,0,Stonebridge Healthcare Facility,0,1,0,0,0,7.4,0.07142857142857142,0.08133333333333333,2,1,0.8777333333333334
762,1,28,"General, Multi-specialty, Neuro",1,141,1,1,Saint Riverside Healthcare Center,0,1,1,1,0,5.366197183098592,0.03669724770642202,0.9493333333333334,2,2,1.471466666666667
72,1,20,"Cancer, Cardiac, General, Multi-specialty, Neuro",1,12,1,1,Third Grace Medical Facility,1,1,1,1,1,5.538461538461538,0.273972602739726,0.029333333333333333,2,2,1.1421333333333332
307,1,20,"Cancer, General, Multi-specialty",1,50,1,0,Fairview Medical Medical Facility,0,1,1,0,1,6.019607843137255,0.06493506493506493,0.3426666666666667,2,1,1.0361333333333334
789,1,27,"Cancer, Cardiac, General, Multi-specialty, Neuro",1,125,1,1,Meadowview Memorial Hospital,1,1,1,1,1,6.261904761904762,0.03417721518987342,0.9853333333333333,2,2,1.4755999999999998
125,1,7,"Cancer, General, Neuro",1,12,1,0,Brighton Health Center,0,0,1,1,1,9.615384615384615,0.05555555555555555,0.1,2,1,0.8766666666666667
215,0,18,"Cancer, Cardiac, General, Multi-specialty, Neuro",1,30,0,0,Sunset Health Center,1,1,1,1,1,6.935483870967742,0.08333333333333333,0.22,1,0,0.486
79,1,7,"General, Multi-specialty",1,9,1,0,Memorial Harborview Hospital,0,1,1,0,0,7.9,0.0875,0.03866666666666667,2,1,0.8582666666666667
507,1,29,"Cancer, Cardiac, General, Multi-specialty, Neuro",1,85,0,0,Fourth Unity Health System,1,1,1,1,1,5.895348837209302,0.05708661417322835,0.6093333333333333,2,0,0.9761333333333333
726,1,29,"Cancer, Cardiac, General, Multi-specialty",1,129,1,0,Brighton Hope Healthcare Center,1,1,1,0,1,5.584615384615384,0.039889958734525444,0.9013333333333333,2,1,1.2637333333333334
250,1,27,"Cancer, General, Multi-specialty",1,56,1,1,Lakeside Faith Health Center,0,1,1,0,1,4.385964912280702,0.10756972111553785,0.26666666666666666,2,2,1.26
681,1,30,"Cardiac, General, Multi-specialty, Neuro",1,98,1,0,Parkview Medical Facility,1,1,1,1,0,6.878787878787879,0.04398826979472141,0.8413333333333334,2,1,1.2524
101,1,5,"Cardiac, General, Multi-specialty",1,11,1,0,Central Healthcare Facility,1,1,1,0,0,8.416666666666666,0.049019607843137254,0.068,2,1,0.8537333333333333
77,1,8,"Cancer, Cardiac, General",0,9,1,0,Saint Eastend Health System,1,0,1,0,1,7.7,0.10256410256410256,0.036,1,1,0.5641333333333333
67,1,5,Neuro,1,9,1,0,Third Medical Hospital,0,0,0,1,0,6.7,0.07352941176470588,0.02266666666666667,2,1,0.8401333333333333
92,0,9,"General, Neuro",0,9,0,0,Sunrise Memorial Medical Complex,0,0,1,1,0,9.2,0.0967741935483871,0.056,0,0,0.0768
529,1,29,"Cancer, Cardiac, Multi-specialty, Neuro",1,92,1,1,Downtown Unity Medical Facility,1,1,0,1,1,5.688172043010753,0.05471698113207547,0.6386666666666667,2,2,1.3849333333333333
209,0,20,"Cancer, General, Multi-specialty, Neuro",1,24,1,0,White Oak Health Center,0,1,1,1,1,8.36,0.09523809523809523,0.212,1,1,0.6969333333333333
56,1,9,"Cancer, Cardiac, Multi-specialty",1,9,1,0,Uptown Medical Complex 1,1,1,0,0,1,5.6,0.15789473684210525,0.008,2,1,0.8624
652,1,35,"Cancer, Cardiac, General, Multi-specialty, Neuro",1,118,1,1,Mercy Clearwater Clinic,1,1,1,1,1,5.4789915966386555,0.05359877488514548,0.8026666666666666,2,2,1.4741333333333335
144,1,12,Cancer,1,17,1,0,Third Hope Medical Complex,0,0,0,0,1,8.0,0.08275862068965517,0.12533333333333332,2,1,0.9176
346,1,22,"Cancer, Cardiac, General, Multi-specialty, Neuro",1,59,1,1,Pinecrest Healthcare Hospital,1,1,1,1,1,5.766666666666667,0.06340057636887608,0.39466666666666667,2,2,1.2650666666666666
789,1,30,"Cancer, Cardiac, General, Multi-specialty, Neuro",1,162,1,1,Metro Trauma Medical Center,1,1,1,1,1,4.840490797546012,0.0379746835443038,0.9853333333333333,2,2,1.4955999999999998
331,1,18,"Cancer, Multi-specialty",0,40,1,0,University Medical Facility,0,1,0,0,1,8.073170731707316,0.05421686746987952,0.37466666666666665,1,1,0.7324
106,1,6,Cardiac,1,11,1,0,Westside Healthcare Center,1,0,0,0,0,8.833333333333334,0.056074766355140186,0.07466666666666667,2,1,0.8624
137,1,7,Multi-specialty,0,12,0,0,Grace Fairview Medical Center,0,1,0,0,0,10.538461538461538,0.050724637681159424,0.116,1,0,0.3814666666666667
174,1,10,Cardiac,1,24,1,0,Main Healthcare Healthcare Facility,1,0,0,0,0,6.96,0.05714285714285714,0.16533333333333333,2,1,0.9162666666666666
249,1,20,"Cancer, Cardiac, General, Multi-specialty",1,37,1,0,Lakeside Community Medical Center,1,1,1,0,1,6.552631578947368,0.08,0.2653333333333333,2,1,1.0129333333333332
194,1,18,"Cancer, Cardiac, General, Multi-specialty",1,31,1,0,Metro Unity Health System,1,1,1,0,1,6.0625,0.09230769230769231,0.192,2,1,0.9775999999999999
537,1,22,"Cancer, Cardiac, Multi-specialty, Neuro",1,95,1,0,Blue Ridge Medical Facility,1,1,0,1,1,5.59375,0.040892193308550186,0.6493333333333333,2,1,1.1414666666666666
238,1,18,"Cancer, Cardiac, General, Multi-specialty, Neuro",1,28,1,0,Bayview Clinic,1,1,1,1,1,8.206896551724139,0.07531380753138076,0.25066666666666665,2,1,0.9952
60,1,8,"Cardiac, General",1,9,0,0,Saint Highland Health Center,1,0,1,0,0,6.0,0.13114754098360656,0.013333333333333334,2,0,0.6573333333333333
136,0,5,"Cancer, Neuro",1,16,1,0,Primary Saint Hospital,0,0,0,1,1,8.0,0.0364963503649635,0.11466666666666667,1,1,0.5677333333333333
93,1,9,Cardiac,1,11,1,0,Redwood Medical Health Center,1,0,0,0,0,7.75,0.09574468085106383,0.05733333333333333,2,1,0.8772
81,1,9,"Cancer, General, Multi-specialty",1,9,1,0,Brookside Community Medical Complex,0,1,1,0,1,8.1,0.10975609756097561,0.04133333333333333,2,1,0.8724000000000001
129,1,8,"Cardiac, Multi-specialty, Neuro",1,14,0,0,Regional Hospital,1,1,0,1,0,8.6,0.06153846153846154,0.10533333333333333,2,0,0.6849333333333333
615,1,30,"Cancer, Cardiac, General, Multi-specialty, Neuro",1,107,1,0,Ridgeview Medical Facility,1,1,1,1,1,5.694444444444445,0.048701298701298704,0.7533333333333333,2,1,1.226
99,0,9,Multi-specialty,1,12,0,0,Grace Bayview Clinic,0,1,0,0,0,7.615384615384615,0.09,0.06533333333333333,1,0,0.3796
106,0,12,"Cardiac, Multi-specialty",1,15,1,0,Main Saint Medical Center,1,1,0,0,0,6.625,0.11214953271028037,0.07466666666666667,1,1,0.6024
334,1,19,"Cardiac, Multi-specialty",1,47,1,0,Westside Trauma Clinic,1,1,0,0,0,6.958333333333333,0.056716417910447764,0.37866666666666665,2,1,1.0402666666666667
426,1,25,"Cancer, Cardiac, General, Multi-specialty, Neuro",1,79,1,0,Lakeside Regional Medical Facility,1,1,1,1,1,5.325,0.0585480093676815,0.5013333333333333,2,1,1.1170666666666667
207,1,20,"Cardiac, General, Multi-specialty, Neuro",1,42,1,1,Springfield Clinic 1,1,1,1,1,0,4.813953488372093,0.09615384615384616,0.20933333333333334,2,2,1.1961333333333333
603,1,23,"Cancer, Cardiac, General, Multi-specialty, Neuro",1,105,1,0,Springfield Medical Center,1,1,1,1,1,5.688679245283019,0.0380794701986755,0.7373333333333333,2,1,1.1745333333333332
89,0,12,"Cardiac, General, Multi-specialty",1,10,0,0,Saint Silverlake Healthcare Center,1,1,1,0,0,8.090909090909092,0.13333333333333333,0.052,1,0,0.3956
110,1,25,"Cancer, Multi-specialty, Neuro",1,19,0,1,Fourth Regional Clinic,0,1,0,1,1,5.5,0.22522522522522523,0.08,2,1,0.9906666666666668
60,0,10,Neuro,1,10,1,0,Uptown Saint Health Center,0,0,0,1,0,5.454545454545454,0.16393442622950818,0.013333333333333334,1,1,0.5706666666666667
123,0,7,"Cancer, General, Neuro",0,11,1,0,Bayview Mercy Health System,0,0,1,1,1,10.25,0.056451612903225805,0.09733333333333333,0,1,0.2758666666666667
496,1,33,"Cancer, Multi-specialty, Neuro",1,93,1,1,Harborview Medical Center,0,1,0,1,1,5.276595744680851,0.06639839034205232,0.5946666666666667,2,2,1.3983999999999999
763,1,31,"Cancer, Cardiac, Multi-specialty",1,124,1,0,Metro Clinic,1,1,0,0,1,6.104,0.04057591623036649,0.9506666666666667,2,1,1.2918666666666667
735,1,22,"Cancer, Cardiac, Multi-specialty",1,90,1,0,Hope Metro Medical Complex,1,1,0,0,1,8.076923076923077,0.029891304347826088,0.9133333333333333,2,1,1.2206666666666666
111,1,9,"Cancer, General",0,13,1,0,Fifth General Healthcare Facility,0,0,1,0,1,7.928571428571429,0.08035714285714286,0.08133333333333333,1,1,0.5844
118,0,5,"Cancer, Neuro",1,10,1,0,Maple Grove Medical Healthcare Facility,0,0,0,1,1,10.727272727272727,0.04201680672268908,0.09066666666666667,1,1,0.5605333333333333
68,0,9,General,1,9,1,0,Springfield Regional Medical Facility,0,0,1,0,0,6.8,0.13043478260869565,0.024,1,1,0.5671999999999999
242,1,13,Cancer,1,28,1,0,Northside Health Center,0,0,0,0,1,8.344827586206897,0.053497942386831275,0.256,2,1,0.9634666666666667
85,1,5,Cancer,1,9,1,0,Lakeside Clinic,0,0,0,0,1,8.5,0.05813953488372093,0.04666666666666667,2,1,0.8473333333333334
117,0,11,"Cancer, Cardiac",1,12,1,0,Mercy Downtown Medical Complex,1,0,0,0,1,9.0,0.09322033898305085,0.08933333333333333,1,1,0.6001333333333333
359,0,19,"Cancer, Cardiac, General, Multi-specialty, Neuro",1,54,1,0,Main Saint Hospital,1,1,1,1,1,6.527272727272727,0.05277777777777778,0.412,1,1,0.7502666666666666
197,1,18,"Cancer, General, Multi-specialty, Neuro",1,26,0,0,Golden Gate Regional Health Center,0,1,1,1,1,7.296296296296297,0.09090909090909091,0.196,2,0,0.7787999999999999
343,1,20,"Cancer, Cardiac, Neuro",1,42,1,0,Silverlake Saint Medical Facility,1,0,0,1,1,7.976744186046512,0.05813953488372093,0.39066666666666666,2,1,1.0505333333333333
616,1,29,"Cardiac, General, Neuro",1,120,1,0,Downtown Healthcare Center,1,0,1,1,0,5.090909090909091,0.04700162074554295,0.7546666666666667,2,1,1.2197333333333333
400,1,10,"Cardiac, General",1,52,1,0,Westside Healthcare Facility,1,0,1,0,0,7.547169811320755,0.02493765586034913,0.4666666666666667,2,1,1.0066666666666666
577,1,28,"Cancer, Cardiac, General, Multi-specialty, Neuro",1,108,1,1,Grace Riverside Medical Center,1,1,1,1,1,5.293577981651376,0.04844290657439446,0.7026666666666667,2,2,1.3974666666666666
254,1,12,General,1,27,1,0,Main Healthcare Medical Complex,0,0,1,0,0,9.071428571428571,0.047058823529411764,0.272,2,1,0.9616
265,1,16,"Cardiac, Multi-specialty",1,41,1,0,Redwood Grace Medical Complex,1,1,0,0,0,6.309523809523809,0.06015037593984962,0.2866666666666667,2,1,0.9926666666666666
170,1,17,"Cancer, Cardiac, General, Multi-specialty, Neuro",1,19,1,0,Brookside General Healthcare Facility,1,1,1,1,1,8.5,0.09941520467836257,0.16,2,1,0.9613333333333334
127,1,12,"General, Multi-specialty, Neuro",1,15,1,0,Golden Gate Healthcare Facility,0,1,1,1,0,7.9375,0.09375,0.10266666666666667,2,1,0.9108
102,1,8,"Cancer, Multi-specialty, Neuro",1,10,1,0,Eastend Healthcare Facility,0,1,0,1,1,9.272727272727273,0.07766990291262135,0.06933333333333333,2,1,0.8741333333333333
146,0,8,"Cancer, General, Multi-specialty",0,19,1,0,Saint Fairview Healthcare Facility,0,1,1,0,1,7.3,0.05442176870748299,0.128,0,1,0.29173333333333334
657,1,32,"Cancer, Cardiac, Multi-specialty, Neuro",1,128,1,1,First Saint Health Center,1,1,0,1,1,5.093023255813954,0.0486322188449848,0.8093333333333333,2,2,1.4561333333333333
91,1,11,"Cancer, Cardiac, Multi-specialty",1,10,1,0,Sunset Emergency Clinic,1,1,0,0,1,8.272727272727273,0.11956521739130435,0.05466666666666667,2,1,0.8897333333333334
68,1,7,"Cancer, Cardiac, Neuro",0,9,1,0,Eastend General Medical Facility,1,0,0,1,1,6.8,0.10144927536231885,0.024,1,1,0.5538666666666666
123,1,7,"Cancer, Cardiac, Multi-specialty",0,13,1,0,Central Hospital 1,1,1,0,0,1,8.785714285714286,0.056451612903225805,0.09733333333333333,1,1,0.5758666666666666
75,1,6,"Cancer, General",1,9,1,0,Lakeside Health System,0,0,1,0,1,7.5,0.07894736842105263,0.03333333333333333,2,1,0.8500000000000001
745,1,20,"Cancer, Cardiac, General, Multi-specialty",1,109,1,0,Saint Central Clinic,1,1,1,0,1,6.7727272727272725,0.02680965147453083,0.9266666666666666,2,1,1.2113333333333332
257,1,18,"Cancer, Cardiac, General, Multi-specialty, Neuro",1,35,1,0,Main Unity Hospital,1,1,1,1,1,7.138888888888889,0.06976744186046512,0.276,2,1,1.0028000000000001
282,1,12,"Cancer, Neuro",1,29,1,0,Regional Hope Health System,0,0,0,1,1,9.4,0.04240282685512368,0.30933333333333335,2,1,0.9728000000000001
445,1,23,"Cancer, General, Multi-specialty, Neuro",1,63,1,0,Midtown General Medical Center,0,1,1,1,1,6.953125,0.0515695067264574,0.5266666666666666,2,1,1.1113333333333333
86,0,11,"Cardiac, General, Neuro",1,12,1,0,Cedar Heights Medical Center,1,0,1,1,0,6.615384615384615,0.12643678160919541,0.048,1,1,0.5877333333333333
103,0,9,"Cardiac, Multi-specialty, Neuro",1,12,1,0,Eastend Healthcare Facility 1,1,1,0,1,0,7.923076923076923,0.08653846153846154,0.07066666666666667,1,1,0.5811999999999999
131,0,10,"Cardiac, General, Multi-specialty",1,13,0,0,Mercy Oakwood Health System 1,1,1,1,0,0,9.357142857142858,0.07575757575757576,0.108,1,0,0.3990666666666666
220,1,30,"Cancer, Cardiac, Multi-specialty, Neuro",1,40,1,1,Third Medical Medical Facility,1,1,0,1,1,5.365853658536586,0.13574660633484162,0.22666666666666666,2,2,1.268
107,1,9,"Cancer, General, Neuro",1,14,0,0,Bayview Community Clinic,0,0,1,1,1,7.133333333333334,0.08333333333333333,0.076,2,0,0.6828000000000001
114,1,8,"Cancer, General, Multi-specialty",1,11,1,0,Springfield Grace Health System,0,1,1,0,1,9.5,0.06956521739130435,0.08533333333333333,2,1,0.8789333333333332
281,1,20,"Cancer, Cardiac, Multi-specialty",1,32,1,0,Greenwood Medical Facility,1,1,0,0,1,8.515151515151516,0.07092198581560284,0.308,2,1,1.0257333333333334
59,1,8,"Cancer, Cardiac, Neuro",0,9,1,0,Greenwood Medical Facility 1,1,0,0,1,1,5.9,0.13333333333333333,0.012,1,1,0.5569333333333334
297,1,23,"Cardiac, General, Multi-specialty, Neuro",1,59,1,1,Memorial Downtown Medical Facility,1,1,1,1,0,4.95,0.07718120805369127,0.3293333333333333,2,2,1.2521333333333333
86,0,11,"Cancer, Cardiac, Multi-specialty",0,11,1,0,First Community Health Center,1,1,0,0,1,7.166666666666667,0.12643678160919541,0.048,0,1,0.28773333333333334
168,1,23,"Cancer, General, Multi-specialty, Neuro",1,27,1,1,Regional Grace Health System,0,1,1,1,1,6.0,0.13609467455621302,0.15733333333333333,2,2,1.2005333333333335
620,1,24,"Cancer, Cardiac, General, Multi-specialty, Neuro",1,124,1,1,Oakwood Emergency Healthcare Center,1,1,1,1,1,4.96,0.03864734299516908,0.76,2,2,1.388
546,1,20,"Cardiac, General, Multi-specialty, Neuro",1,80,1,1,Eastend Clinic,1,1,1,1,0,6.7407407407407405,0.03656307129798903,0.6613333333333333,2,2,1.3317333333333332
360,1,17,"Cancer, General",1,47,1,0,Clearwater Medical Center,0,0,1,0,1,7.5,0.04709141274238227,0.41333333333333333,2,1,1.0373333333333332
364,1,20,"Cancer, Cardiac, General, Multi-specialty, Neuro",1,51,1,0,Mercy Parkview Medical Facility,1,1,1,1,1,7.0,0.0547945205479452,0.4186666666666667,2,1,1.0589333333333333
98,1,10,"Cancer, Cardiac",1,10,1,0,Central Healthcare Health Center 1,1,0,0,0,1,8.909090909090908,0.10101010101010101,0.064,2,1,0.8858666666666666
596,1,28,"Cancer, Cardiac, General, Multi-specialty, Neuro",1,93,0,0,Metropolitan Regional Health Center,1,1,1,1,1,6.340425531914893,0.04690117252931323,0.728,2,0,1.0050666666666668
258,1,15,"Cancer, Cardiac, General, Multi-specialty, Neuro",1,37,0,0,Greenwood Saint Clinic,1,1,1,1,1,6.7894736842105265,0.05791505791505792,0.2773333333333333,2,0,0.7832
363,1,18,"Cancer, General, Neuro",1,73,1,1,Southwest Medical Center,0,0,1,1,1,4.905405405405405,0.04945054945054945,0.41733333333333333,2,2,1.2452
73,1,6,Multi-specialty,1,9,1,0,Springfield Healthcare Facility,0,1,0,0,0,7.3,0.08108108108108109,0.030666666666666665,2,1,0.8492
75,1,10,"Cancer, Cardiac",0,10,1,0,Hope Harborview Health Center,1,0,0,0,1,6.818181818181818,0.13157894736842105,0.03333333333333333,1,1,0.5766666666666667
373,1,19,"Cancer, General, Multi-specialty, Neuro",1,51,1,0,Main Grace Healthcare Facility,0,1,1,1,1,7.173076923076923,0.05080213903743316,0.43066666666666664,2,1,1.0558666666666667
120,1,11,"Cancer, Cardiac, General",1,14,0,0,Bayview Emergency Hospital,1,0,1,0,1,8.0,0.09090909090909091,0.09333333333333334,2,0,0.7013333333333334
278,1,16,"Cardiac, General, Multi-specialty, Neuro",1,35,0,0,Lakeside Saint Health System,1,1,1,1,0,7.722222222222222,0.05734767025089606,0.304,2,0,0.7978666666666666
105,1,18,"Cancer, Cardiac, General, Multi-specialty",1,18,1,1,Coastal Health System,1,1,1,0,1,5.526315789473684,0.16981132075471697,0.07333333333333333,2,2,1.142
294,1,20,"Cancer, Cardiac, General, Multi-specialty, Neuro",1,45,0,0,Riverside Healthcare Center,1,1,1,1,1,6.391304347826087,0.06779661016949153,0.3253333333333333,2,0,0.8309333333333333
136,1,10,"Cancer, Multi-specialty",1,19,1,0,Hope Meadowview Healthcare Center,0,1,0,0,1,6.8,0.072992700729927,0.11466666666666667,2,1,0.9010666666666667
147,0,5,"Cancer, Neuro",1,15,1,0,Fourth Regional Health Center,0,0,0,1,1,9.1875,0.033783783783783786,0.12933333333333333,1,1,0.5721333333333333
119,0,7,"Cancer, Cardiac",1,15,1,0,Southside Memorial Medical Center,1,0,0,0,1,7.4375,0.058333333333333334,0.092,1,1,0.5742666666666667
555,1,22,"Cancer, General, Multi-specialty, Neuro",1,104,1,1,Stonebridge Medical Medical Facility,0,1,1,1,1,5.285714285714286,0.039568345323741004,0.6733333333333333,2,2,1.3486666666666667
138,0,6,Cardiac,1,12,0,0,Clearwater Health Center,1,0,0,0,0,10.615384615384615,0.04316546762589928,0.11733333333333333,1,0,0.3752
100,0,8,"Cardiac, General, Neuro",1,9,1,0,Sunset Healthcare Facility,1,0,1,1,0,10.0,0.07920792079207921,0.06666666666666667,1,1,0.5733333333333334
94,0,5,"Multi-specialty, Neuro",0,9,0,0,Hope Metro Health System,0,1,0,1,0,9.4,0.05263157894736842,0.058666666666666666,0,0,0.05093333333333333
91,0,11,"Cancer, Cardiac, Multi-specialty",0,12,1,0,Second Healthcare Healthcare Facility,1,1,0,0,1,7.0,0.11956521739130435,0.05466666666666667,0,1,0.28973333333333334
721,1,29,"Cardiac, General, Multi-specialty, Neuro",1,157,1,1,City General Healthcare Facility,1,1,1,1,0,4.563291139240507,0.04016620498614958,0.8946666666666667,2,2,1.4617333333333336
53,0,10,Multi-specialty,0,10,1,0,Brighton Medical Hospital,0,1,0,0,0,4.818181818181818,0.18518518518518517,0.004,0,1,0.2678666666666667
101,1,8,Cardiac,1,11,1,0,Silverlake Medical Center,1,0,0,0,0,8.416666666666666,0.0784313725490196,0.068,2,1,0.8737333333333334
144,1,10,"Cardiac, General, Multi-specialty",1,14,1,0,Bridgeport Clinic,1,1,1,0,0,9.6,0.06896551724137931,0.12533333333333332,2,1,0.9042666666666666
514,1,29,"Cancer, Cardiac, General, Multi-specialty, Neuro",1,106,0,1,Memorial Ridgeview Healthcare Center,1,1,1,1,1,4.803738317757009,0.05631067961165048,0.6186666666666667,2,1,1.1789333333333334
54,0,11,"Cancer, General, Multi-specialty",1,10,1,0,Second Medical Health System,0,1,1,0,1,4.909090909090909,0.2,0.005333333333333333,1,1,0.5749333333333334
56,1,10,"General, Multi-specialty",1,10,1,0,Greenwood Memorial Health Center,0,1,1,0,0,5.090909090909091,0.17543859649122806,0.008,2,1,0.8690666666666667
184,1,12,"Cardiac, Multi-specialty, Neuro",1,27,1,0,Highland Emergency Hospital,1,1,0,1,0,6.571428571428571,0.06486486486486487,0.17866666666666667,2,1,0.9336
212,1,20,"Cancer, Cardiac, General",1,33,1,0,Bridgeport Medical Facility,1,0,1,0,1,6.235294117647059,0.09389671361502347,0.216,2,1,0.9981333333333333
387,1,15,"Cancer, Cardiac, General, Neuro",0,42,1,0,Sunset Medical Complex 1,1,0,1,1,1,9.0,0.03865979381443299,0.4493333333333333,1,1,0.7348
125,1,7,Cardiac,0,13,1,0,Mercy Silverlake Medical Facility,1,0,0,0,0,8.928571428571429,0.05555555555555555,0.1,1,1,0.5766666666666667
474,1,33,"Cardiac, Multi-specialty, Neuro",1,94,1,0,Central Trauma Clinic,1,1,0,1,0,4.989473684210527,0.06947368421052631,0.5653333333333334,2,1,1.1896
260,1,15,"Cancer, Cardiac, Neuro",1,31,1,0,Midtown Faith Medical Complex,1,0,0,1,1,8.125,0.05747126436781609,0.28,2,1,0.9839999999999999
680,1,26,"Cancer, Cardiac, General, Multi-specialty, Neuro",1,142,1,1,Brookside Hope Health System,1,1,1,1,1,4.755244755244755,0.0381791483113069,0.84,2,2,1.4253333333333333
388,1,15,"Cardiac, Multi-specialty",0,49,1,0,Bayview Medical Complex,1,1,0,0,0,7.76,0.038560411311053984,0.45066666666666666,1,1,0.7352
396,1,12,"Cancer, Cardiac, Multi-specialty",1,55,1,0,Downtown Clinic,1,1,0,0,1,7.071428571428571,0.030226700251889168,0.4613333333333333,2,1,1.0184
206,1,25,"Cancer, General, Multi-specialty, Neuro",1,36,1,1,Grace Ridgeview Health Center,0,1,1,1,1,5.5675675675675675,0.12077294685990338,0.208,2,2,1.2290666666666668
702,1,23,"Cancer, Cardiac, General, Multi-specialty, Neuro",1,123,1,1,Main Regional Health Center,1,1,1,1,1,5.661290322580645,0.032716927453769556,0.8693333333333333,2,2,1.4141333333333335
126,1,8,"Cardiac, Neuro",1,16,1,0,Brookside General Healthcare Facility 1,1,0,0,1,0,7.411764705882353,0.06299212598425197,0.10133333333333333,2,1,0.8837333333333334
381,1,11,Neuro,1,41,1,0,Oakwood Unity Hospital,0,0,0,1,0,9.071428571428571,0.028795811518324606,0.44133333333333336,2,1,1.0057333333333331
148,1,9,"Cardiac, General",1,13,0,0,Bayview Medical Center 1,1,0,1,0,0,10.571428571428571,0.06040268456375839,0.13066666666666665,2,0,0.6992
141,0,11,"Multi-specialty, Neuro",0,15,1,0,Central Healthcare Facility 1,0,1,0,1,0,8.8125,0.07746478873239436,0.12133333333333333,0,1,0.3097333333333333
70,1,27,"Cancer, Cardiac, General, Multi-specialty, Neuro",1,13,0,1,Memorial Central Healthcare Center,1,1,1,1,1,5.0,0.38028169014084506,0.02666666666666667,2,1,0.9880000000000001
178,1,16,"Cancer, Cardiac, Multi-specialty, Neuro",0,24,1,0,First Community Healthcare Facility,1,1,0,1,1,7.12,0.0893854748603352,0.17066666666666666,1,1,0.6578666666666666
153,1,19,"Cancer, Cardiac, General, Multi-specialty, Neuro",1,24,1,0,Clearwater Community Medical Facility,1,1,1,1,1,6.12,0.12337662337662338,0.13733333333333334,2,1,0.9678666666666667
77,1,11,"Cancer, Multi-specialty",1,10,1,0,Springfield Saint Health Center,0,1,0,0,1,7.0,0.14102564102564102,0.036,2,1,0.8841333333333333
147,0,11,Neuro,1,19,1,0,Highland Medical Complex 1,0,0,0,1,0,7.35,0.07432432432432433,0.12933333333333333,1,1,0.6121333333333333
356,1,17,"Cancer, Cardiac, General, Multi-specialty, Neuro",1,54,1,0,Sunset Hospital,1,1,1,1,1,6.472727272727273,0.047619047619047616,0.408,2,1,1.0357333333333332
79,1,11,"Cancer, Cardiac, Neuro",0,10,1,0,Grace Hillcrest Medical Complex,1,0,0,1,1,7.181818181818182,0.1375,0.03866666666666667,1,1,0.5849333333333334
147,1,11,Multi-specialty,1,17,1,0,Central Community Medical Facility,0,1,0,0,0,8.166666666666666,0.07432432432432433,0.12933333333333333,2,1,0.9121333333333334
462,1,24,"Cancer, Multi-specialty, Neuro",1,90,1,1,Bayview Memorial Medical Complex,0,1,0,1,1,5.076923076923077,0.05183585313174946,0.5493333333333333,2,2,1.3248000000000002
